Plot Title: 20046751,,,,,,,,
#,"Date Time, GMT+05:00","Temp, ¡F (LGR S/N: 20046751, SEN S/N: 20046751, LBL: T (¡C))","Intensity, lum/ft? (LGR S/N: 20046751, SEN S/N: 20046751, LBL: light (lux))",Coupler Detached (LGR S/N: 20046751),Coupler Attached (LGR S/N: 20046751),Host Connected (LGR S/N: 20046751),Stopped (LGR S/N: 20046751),End Of File (LGR S/N: 20046751)
5622,03/01/2017 13:41,83.399,512,,,,,
5623,03/01/2017 13:51,83.399,480,,,,,
5624,03/01/2017 14:01,83.221,400,,,,,
5625,03/01/2017 14:11,83.221,384,,,,,
5626,03/01/2017 14:21,83.221,384,,,,,
5627,03/01/2017 14:31,83.399,448,,,,,
5628,03/01/2017 14:41,83.579,496,,,,,
5629,03/01/2017 14:51,83.579,400,,,,,
5630,03/01/2017 15:01,83.757,400,,,,,
5631,03/01/2017 15:11,83.757,480,,,,,
5632,03/01/2017 15:21,83.757,480,,,,,
5633,03/01/2017 15:31,83.579,352,,,,,
5634,03/01/2017 15:41,83.579,224,,,,,
5635,03/01/2017 15:51,83.579,224,,,,,
5636,03/01/2017 16:01,83.579,176,,,,,
5637,03/01/2017 16:11,83.579,144,,,,,
5638,03/01/2017 16:21,83.579,123,,,,,
5639,03/01/2017 16:31,83.399,117,,,,,
5640,03/01/2017 16:41,83.399,106,,,,,
5641,03/01/2017 16:51,83.399,116,,,,,
5642,03/01/2017 17:01,83.221,102,,,,,
5643,03/01/2017 17:11,83.221,82,,,,,
5644,03/01/2017 17:21,83.221,64,,,,,
5645,03/01/2017 17:31,83.221,60,,,,,
5646,03/01/2017 17:41,83.221,48,,,,,
5647,03/01/2017 17:51,83.221,25,,,,,
5648,03/01/2017 18:01,83.399,13,,,,,
5649,03/01/2017 18:11,83.399,5,,,,,
5650,03/01/2017 18:21,83.579,1,,,,,
5651,03/01/2017 18:31,83.399,0,,,,,
5652,03/01/2017 18:41,83.579,0,,,,,
5653,03/01/2017 18:51,83.399,0,,,,,
5654,03/01/2017 19:01,83.399,0,,,,,
5655,03/01/2017 19:11,83.399,0,,,,,
5656,03/01/2017 19:21,83.399,0,,,,,
5657,03/01/2017 19:31,83.221,0,,,,,
5658,03/01/2017 19:41,83.221,0,,,,,
5659,03/01/2017 19:51,83.399,0,,,,,
5660,03/01/2017 20:01,83.399,0,,,,,
5661,03/01/2017 20:11,83.399,0,,,,,
5662,03/01/2017 20:21,83.221,0,,,,,
5663,03/01/2017 20:31,83.221,0,,,,,
5664,03/01/2017 20:41,83.221,0,,,,,
5665,03/01/2017 20:51,83.043,0,,,,,
5666,03/01/2017 21:01,83.043,0,,,,,
5667,03/01/2017 21:11,83.221,0,,,,,
5668,03/01/2017 21:21,83.221,0,,,,,
5669,03/01/2017 21:31,83.221,0,,,,,
5670,03/01/2017 21:41,83.221,0,,,,,
5671,03/01/2017 21:51,83.043,0,,,,,
5672,03/01/2017 22:01,83.043,0,,,,,
5673,03/01/2017 22:11,83.221,0,,,,,
5674,03/01/2017 22:21,83.221,0,,,,,
5675,03/01/2017 22:31,83.043,0,,,,,
5676,03/01/2017 22:41,83.043,0,,,,,
5677,03/01/2017 22:51,83.221,0,,,,,
5678,03/01/2017 23:01,83.043,0,,,,,
5679,03/01/2017 23:11,83.043,0,,,,,
5680,03/01/2017 23:21,83.043,0,,,,,
5681,03/01/2017 23:31,83.043,0,,,,,
5682,03/01/2017 23:41,83.043,0,,,,,
5683,03/01/2017 23:51,83.043,0,,,,,
5684,03/02/2017 00:01,83.043,0,,,,,
5685,03/02/2017 00:11,82.864,0,,,,,
5686,03/02/2017 00:21,82.864,0,,,,,
5687,03/02/2017 00:31,83.043,0,,,,,
5688,03/02/2017 00:41,82.864,0,,,,,
5689,03/02/2017 00:51,83.043,0,,,,,
5690,03/02/2017 01:01,82.864,0,,,,,
5691,03/02/2017 01:11,82.864,0,,,,,
5692,03/02/2017 01:21,82.864,0,,,,,
5693,03/02/2017 01:31,82.864,0,,,,,
5694,03/02/2017 01:41,82.864,0,,,,,
5695,03/02/2017 01:51,82.864,0,,,,,
5696,03/02/2017 02:01,83.399,0,,,,,
5697,03/02/2017 02:11,83.221,0,,,,,
5698,03/02/2017 02:21,83.399,0,,,,,
5699,03/02/2017 02:31,83.399,0,,,,,
5700,03/02/2017 02:41,83.579,0,,,,,
5701,03/02/2017 02:51,83.579,0,,,,,
5702,03/02/2017 03:01,83.399,0,,,,,
5703,03/02/2017 03:11,83.579,0,,,,,
5704,03/02/2017 03:21,83.579,0,,,,,
5705,03/02/2017 03:31,83.399,0,,,,,
5706,03/02/2017 03:41,83.399,0,,,,,
5707,03/02/2017 03:51,83.579,0,,,,,
5708,03/02/2017 04:01,83.579,0,,,,,
5709,03/02/2017 04:11,83.757,0,,,,,
5710,03/02/2017 04:21,83.757,0,,,,,
5711,03/02/2017 04:31,83.757,0,,,,,
5712,03/02/2017 04:41,83.757,0,,,,,
5713,03/02/2017 04:51,83.757,0,,,,,
5714,03/02/2017 05:01,83.757,0,,,,,
5715,03/02/2017 05:11,83.757,0,,,,,
5716,03/02/2017 05:21,83.757,0,,,,,
5717,03/02/2017 05:31,83.757,0,,,,,
5718,03/02/2017 05:41,83.757,0,,,,,
5719,03/02/2017 05:51,83.757,0,,,,,
5720,03/02/2017 06:01,83.757,0,,,,,
5721,03/02/2017 06:11,83.757,0,,,,,
5722,03/02/2017 06:21,83.757,4,,,,,
5723,03/02/2017 06:31,83.757,18,,,,,
5724,03/02/2017 06:41,83.757,59,,,,,
5725,03/02/2017 06:51,83.757,88,,,,,
5726,03/02/2017 07:01,83.579,87,,,,,
5727,03/02/2017 07:11,83.757,128,,,,,
5728,03/02/2017 07:21,83.757,184,,,,,
5729,03/02/2017 07:31,83.757,216,,,,,
5730,03/02/2017 07:41,83.757,288,,,,,
5731,03/02/2017 07:51,83.935,368,,,,,
5732,03/02/2017 08:01,83.935,320,,,,,
5733,03/02/2017 08:11,83.935,368,,,,,
5734,03/02/2017 08:21,83.935,384,,,,,
5735,03/02/2017 08:31,84.115,480,,,,,
5736,03/02/2017 08:41,84.115,384,,,,,
5737,03/02/2017 08:51,84.474,768,,,,,
5738,03/02/2017 09:01,84.474,704,,,,,
5739,03/02/2017 09:11,84.474,1024,,,,,
5740,03/02/2017 09:21,84.474,1088,,,,,
5741,03/02/2017 09:31,84.834,1216,,,,,
5742,03/02/2017 09:41,84.834,1088,,,,,
5743,03/02/2017 09:51,85.374,1344,,,,,
5744,03/02/2017 10:01,85.014,1280,,,,,
5745,03/02/2017 10:11,85.194,1216,,,,,
5746,03/02/2017 10:21,85.194,1600,,,,,
5747,03/02/2017 10:31,85.374,2048,,,,,
5748,03/02/2017 10:41,85.374,2304,,,,,
5749,03/02/2017 10:51,85.554,1920,,,,,
5750,03/02/2017 11:01,85.735,2432,,,,,
5751,03/02/2017 11:11,85.735,2432,,,,,
5752,03/02/2017 11:21,85.915,2304,,,,,
5753,03/02/2017 11:31,85.915,1792,,,,,
5754,03/02/2017 11:41,86.097,2560,,,,,
5755,03/02/2017 11:51,85.915,4352,,,,,
5756,03/02/2017 12:01,85.915,1216,,,,,
5757,03/02/2017 12:11,85.735,3328,,,,,
5758,03/02/2017 12:21,86.097,1920,,,,,
5759,03/02/2017 12:31,85.915,2304,,,,,
5760,03/02/2017 12:41,86.097,4608,,,,,
5761,03/02/2017 12:51,86.097,2048,,,,,
5762,03/02/2017 13:01,86.277,2176,,,,,
5763,03/02/2017 13:11,86.097,1920,,,,,
5764,03/02/2017 13:21,86.277,1792,,,,,
5765,03/02/2017 13:31,86.459,1984,,,,,
5766,03/02/2017 13:41,86.459,2048,,,,,
5767,03/02/2017 13:51,87.004,1216,,,,,
5768,03/02/2017 14:01,86.459,2048,,,,,
5769,03/02/2017 14:11,86.641,1216,,,,,
5770,03/02/2017 14:21,86.097,432,,,,,
5771,03/02/2017 14:31,86.277,960,,,,,
5772,03/02/2017 14:41,85.915,2048,,,,,
5773,03/02/2017 14:51,86.277,1344,,,,,
5774,03/02/2017 15:01,86.097,1600,,,,,
5775,03/02/2017 15:11,85.554,704,,,,,
5776,03/02/2017 15:21,85.735,1344,,,,,
5777,03/02/2017 15:31,85.194,1408,,,,,
5778,03/02/2017 15:41,84.834,272,,,,,
5779,03/02/2017 15:51,84.834,304,,,,,
5780,03/02/2017 16:01,84.654,216,,,,,
5781,03/02/2017 16:11,85.014,896,,,,,
5782,03/02/2017 16:21,84.834,800,,,,,
5783,03/02/2017 16:31,84.834,864,,,,,
5784,03/02/2017 16:41,84.834,512,,,,,
5785,03/02/2017 16:51,84.654,496,,,,,
5786,03/02/2017 17:01,84.654,400,,,,,
5787,03/02/2017 17:11,84.654,400,,,,,
5788,03/02/2017 17:21,84.654,368,,,,,
5789,03/02/2017 17:31,84.474,176,,,,,
5790,03/02/2017 17:41,84.474,118,,,,,
5791,03/02/2017 17:51,84.474,83,,,,,
5792,03/02/2017 18:01,84.295,45,,,,,
5793,03/02/2017 18:11,84.295,21,,,,,
5794,03/02/2017 18:21,84.115,7,,,,,
5795,03/02/2017 18:31,84.115,0,,,,,
5796,03/02/2017 18:41,83.935,0,,,,,
5797,03/02/2017 18:51,83.935,0,,,,,
5798,03/02/2017 19:01,83.935,0,,,,,
5799,03/02/2017 19:11,83.757,0,,,,,
5800,03/02/2017 19:21,83.757,0,,,,,
5801,03/02/2017 19:31,83.579,0,,,,,
5802,03/02/2017 19:41,83.399,0,,,,,
5803,03/02/2017 19:51,83.579,0,,,,,
5804,03/02/2017 20:01,83.399,0,,,,,
5805,03/02/2017 20:11,83.579,0,,,,,
5806,03/02/2017 20:21,83.579,0,,,,,
5807,03/02/2017 20:31,83.579,0,,,,,
5808,03/02/2017 20:41,83.399,0,,,,,
5809,03/02/2017 20:51,83.579,0,,,,,
5810,03/02/2017 21:01,83.757,0,,,,,
5811,03/02/2017 21:11,83.757,0,,,,,
5812,03/02/2017 21:21,83.757,0,,,,,
5813,03/02/2017 21:31,83.757,0,,,,,
5814,03/02/2017 21:41,83.757,0,,,,,
5815,03/02/2017 21:51,83.757,0,,,,,
5816,03/02/2017 22:01,83.757,0,,,,,
5817,03/02/2017 22:11,83.757,0,,,,,
5818,03/02/2017 22:21,83.757,0,,,,,
5819,03/02/2017 22:31,83.757,0,,,,,
5820,03/02/2017 22:41,83.757,0,,,,,
5821,03/02/2017 22:51,83.757,0,,,,,
5822,03/02/2017 23:01,83.757,0,,,,,
5823,03/02/2017 23:11,83.757,0,,,,,
5824,03/02/2017 23:21,83.757,0,,,,,
5825,03/02/2017 23:31,83.757,0,,,,,
5826,03/02/2017 23:41,83.757,0,,,,,
5827,03/02/2017 23:51,83.757,0,,,,,
5828,03/03/2017 00:01,83.757,0,,,,,
5829,03/03/2017 00:11,83.757,0,,,,,
5830,03/03/2017 00:21,83.757,0,,,,,
5831,03/03/2017 00:31,83.757,0,,,,,
5832,03/03/2017 00:41,83.757,0,,,,,
5833,03/03/2017 00:51,83.757,0,,,,,
5834,03/03/2017 01:01,83.757,0,,,,,
5835,03/03/2017 01:11,83.757,0,,,,,
5836,03/03/2017 01:21,83.757,0,,,,,
5837,03/03/2017 01:31,83.757,0,,,,,
5838,03/03/2017 01:41,83.579,0,,,,,
5839,03/03/2017 01:51,83.579,0,,,,,
5840,03/03/2017 02:01,83.579,0,,,,,
5841,03/03/2017 02:11,83.579,0,,,,,
5842,03/03/2017 02:21,83.579,0,,,,,
5843,03/03/2017 02:31,83.579,0,,,,,
5844,03/03/2017 02:41,83.579,0,,,,,
5845,03/03/2017 02:51,83.579,0,,,,,
5846,03/03/2017 03:01,83.579,0,,,,,
5847,03/03/2017 03:11,83.579,0,,,,,
5848,03/03/2017 03:21,83.579,0,,,,,
5849,03/03/2017 03:31,83.399,0,,,,,
5850,03/03/2017 03:41,83.399,0,,,,,
5851,03/03/2017 03:51,83.399,0,,,,,
5852,03/03/2017 04:01,83.399,0,,,,,
5853,03/03/2017 04:11,83.221,0,,,,,
5854,03/03/2017 04:21,83.221,0,,,,,
5855,03/03/2017 04:31,83.221,0,,,,,
5856,03/03/2017 04:41,83.399,0,,,,,
5857,03/03/2017 04:51,83.399,0,,,,,
5858,03/03/2017 05:01,83.579,0,,,,,
5859,03/03/2017 05:11,83.579,0,,,,,
5860,03/03/2017 05:21,83.579,0,,,,,
5861,03/03/2017 05:31,83.579,0,,,,,
5862,03/03/2017 05:41,83.579,0,,,,,
5863,03/03/2017 05:51,83.579,0,,,,,
5864,03/03/2017 06:01,83.221,0,,,,,
5865,03/03/2017 06:11,83.221,1,,,,,
5866,03/03/2017 06:21,83.221,9,,,,,
5867,03/03/2017 06:31,83.221,32,,,,,
5868,03/03/2017 06:41,83.221,67,,,,,
5869,03/03/2017 06:51,83.043,103,,,,,
5870,03/03/2017 07:01,83.043,115,,,,,
5871,03/03/2017 07:11,83.043,128,,,,,
5872,03/03/2017 07:21,83.221,200,,,,,
5873,03/03/2017 07:31,83.399,288,,,,,
5874,03/03/2017 07:41,83.399,336,,,,,
5875,03/03/2017 07:51,83.579,320,,,,,
5876,03/03/2017 08:01,83.757,480,,,,,
5877,03/03/2017 08:11,83.935,480,,,,,
5878,03/03/2017 08:21,84.115,672,,,,,
5879,03/03/2017 08:31,84.295,672,,,,,
5880,03/03/2017 08:41,84.115,576,,,,,
5881,03/03/2017 08:51,84.295,704,,,,,
5882,03/03/2017 09:01,84.295,608,,,,,
5883,03/03/2017 09:11,84.474,464,,,,,
5884,03/03/2017 09:21,84.295,512,,,,,
5885,03/03/2017 09:31,84.654,1152,,,,,
5886,03/03/2017 09:41,84.474,1984,,,,,
5887,03/03/2017 09:51,84.834,992,,,,,
5888,03/03/2017 10:01,85.194,1408,,,,,
5889,03/03/2017 10:11,84.834,1024,,,,,
5890,03/03/2017 10:21,85.194,1344,,,,,
5891,03/03/2017 10:31,85.194,2304,,,,,
5892,03/03/2017 10:41,85.194,1216,,,,,
5893,03/03/2017 10:51,85.374,3712,,,,,
5894,03/03/2017 11:01,85.554,3200,,,,,
5895,03/03/2017 11:11,85.915,1792,,,,,
5896,03/03/2017 11:21,85.554,2432,,,,,
5897,03/03/2017 11:31,85.194,1984,,,,,
5898,03/03/2017 11:41,85.735,2560,,,,,
5899,03/03/2017 11:51,85.374,1664,,,,,
5900,03/03/2017 12:01,85.194,1088,,,,,
5901,03/03/2017 12:11,85.014,1152,,,,,
5902,03/03/2017 12:21,85.374,2816,,,,,
5903,03/03/2017 12:31,84.834,1792,,,,,
5904,03/03/2017 12:41,85.194,1216,,,,,
5905,03/03/2017 12:51,85.554,2048,,,,,
5906,03/03/2017 13:01,85.735,2304,,,,,
5907,03/03/2017 13:11,85.374,2688,,,,,
5908,03/03/2017 13:21,85.554,1728,,,,,
5909,03/03/2017 13:31,85.554,3072,,,,,
5910,03/03/2017 13:41,85.374,960,,,,,
5911,03/03/2017 13:51,85.014,2304,,,,,
5912,03/03/2017 14:01,85.194,2048,,,,,
5913,03/03/2017 14:11,85.374,1728,,,,,
5914,03/03/2017 14:21,85.194,1856,,,,,
5915,03/03/2017 14:31,85.194,1664,,,,,
5916,03/03/2017 14:41,85.194,1728,,,,,
5917,03/03/2017 14:51,85.374,1216,,,,,
5918,03/03/2017 15:01,85.194,1472,,,,,
5919,03/03/2017 15:11,85.374,1728,,,,,
5920,03/03/2017 15:21,85.194,1152,,,,,
5921,03/03/2017 15:31,85.194,1344,,,,,
5922,03/03/2017 15:41,85.014,960,,,,,
5923,03/03/2017 15:51,85.014,1024,,,,,
5924,03/03/2017 16:01,84.654,432,,,,,
5925,03/03/2017 16:11,84.834,672,,,,,
5926,03/03/2017 16:21,84.654,512,,,,,
5927,03/03/2017 16:31,84.654,448,,,,,
5928,03/03/2017 16:41,84.474,432,,,,,
5929,03/03/2017 16:51,84.474,320,,,,,
5930,03/03/2017 17:01,84.474,240,,,,,
5931,03/03/2017 17:11,84.474,208,,,,,
5932,03/03/2017 17:21,84.295,200,,,,,
5933,03/03/2017 17:31,84.295,216,,,,,
5934,03/03/2017 17:41,84.295,144,,,,,
5935,03/03/2017 17:51,84.295,80,,,,,
5936,03/03/2017 18:01,84.295,45,,,,,
5937,03/03/2017 18:11,84.115,17,,,,,
5938,03/03/2017 18:21,84.115,3,,,,,
5939,03/03/2017 18:31,84.115,0,,,,,
5940,03/03/2017 18:41,84.115,0,,,,,
5941,03/03/2017 18:51,84.115,0,,,,,
5942,03/03/2017 19:01,84.115,0,,,,,
5943,03/03/2017 19:11,84.115,0,,,,,
5944,03/03/2017 19:21,84.115,0,,,,,
5945,03/03/2017 19:31,84.115,0,,,,,
5946,03/03/2017 19:41,84.115,0,,,,,
5947,03/03/2017 19:51,83.935,0,,,,,
5948,03/03/2017 20:01,83.935,0,,,,,
5949,03/03/2017 20:11,83.935,0,,,,,
5950,03/03/2017 20:21,83.935,0,,,,,
5951,03/03/2017 20:31,83.935,0,,,,,
5952,03/03/2017 20:41,83.935,0,,,,,
5953,03/03/2017 20:51,83.935,0,,,,,
5954,03/03/2017 21:01,83.935,0,,,,,
5955,03/03/2017 21:11,83.757,0,,,,,
5956,03/03/2017 21:21,83.757,0,,,,,
5957,03/03/2017 21:31,83.757,0,,,,,
5958,03/03/2017 21:41,83.757,0,,,,,
5959,03/03/2017 21:51,83.757,0,,,,,
5960,03/03/2017 22:01,83.757,0,,,,,
5961,03/03/2017 22:11,83.757,0,,,,,
5962,03/03/2017 22:21,83.757,0,,,,,
5963,03/03/2017 22:31,83.579,0,,,,,
5964,03/03/2017 22:41,83.579,0,,,,,
5965,03/03/2017 22:51,83.579,0,,,,,
5966,03/03/2017 23:01,83.757,0,,,,,
5967,03/03/2017 23:11,83.757,0,,,,,
5968,03/03/2017 23:21,83.935,0,,,,,
5969,03/03/2017 23:31,83.935,0,,,,,
5970,03/03/2017 23:41,83.935,0,,,,,
5971,03/03/2017 23:51,83.935,0,,,,,
5972,03/04/2017 00:01,83.935,0,,,,,
5973,03/04/2017 00:11,83.935,0,,,,,
5974,03/04/2017 00:21,83.757,0,,,,,
5975,03/04/2017 00:31,83.757,0,,,,,
5976,03/04/2017 00:41,83.757,0,,,,,
5977,03/04/2017 00:51,83.935,0,,,,,
5978,03/04/2017 01:01,83.935,0,,,,,
5979,03/04/2017 01:11,83.935,0,,,,,
5980,03/04/2017 01:21,83.935,0,,,,,
5981,03/04/2017 01:31,83.935,0,,,,,
5982,03/04/2017 01:41,83.935,0,,,,,
5983,03/04/2017 01:51,83.935,0,,,,,
5984,03/04/2017 02:01,83.935,0,,,,,
5985,03/04/2017 02:11,83.935,0,,,,,
5986,03/04/2017 02:21,83.935,0,,,,,
5987,03/04/2017 02:31,83.935,0,,,,,
5988,03/04/2017 02:41,83.935,0,,,,,
5989,03/04/2017 02:51,83.757,0,,,,,
5990,03/04/2017 03:01,83.757,0,,,,,
5991,03/04/2017 03:11,83.757,0,,,,,
5992,03/04/2017 03:21,83.399,0,,,,,
5993,03/04/2017 03:31,83.579,0,,,,,
5994,03/04/2017 03:41,83.579,0,,,,,
5995,03/04/2017 03:51,83.579,0,,,,,
5996,03/04/2017 04:01,83.579,0,,,,,
5997,03/04/2017 04:11,83.757,0,,,,,
5998,03/04/2017 04:21,83.757,0,,,,,
5999,03/04/2017 04:31,83.757,0,,,,,
6000,03/04/2017 04:41,83.757,0,,,,,
6001,03/04/2017 04:51,83.757,0,,,,,
6002,03/04/2017 05:01,83.757,0,,,,,
6003,03/04/2017 05:11,83.757,0,,,,,
6004,03/04/2017 05:21,83.757,0,,,,,
6005,03/04/2017 05:31,83.757,0,,,,,
6006,03/04/2017 05:41,83.757,0,,,,,
6007,03/04/2017 05:51,83.757,0,,,,,
6008,03/04/2017 06:01,83.757,0,,,,,
6009,03/04/2017 06:11,83.757,1,,,,,
6010,03/04/2017 06:21,83.757,9,,,,,
6011,03/04/2017 06:31,83.757,30,,,,,
6012,03/04/2017 06:41,83.757,55,,,,,
6013,03/04/2017 06:51,83.757,77,,,,,
6014,03/04/2017 07:01,83.757,105,,,,,
6015,03/04/2017 07:11,83.935,184,,,,,
6016,03/04/2017 07:21,83.935,224,,,,,
6017,03/04/2017 07:31,83.935,256,,,,,
6018,03/04/2017 07:41,84.115,184,,,,,
6019,03/04/2017 07:51,84.115,320,,,,,
6020,03/04/2017 08:01,84.295,448,,,,,
6021,03/04/2017 08:11,84.474,512,,,,,
6022,03/04/2017 08:21,84.474,576,,,,,
6023,03/04/2017 08:31,84.474,608,,,,,
6024,03/04/2017 08:41,84.474,768,,,,,
6025,03/04/2017 08:51,84.654,704,,,,,
6026,03/04/2017 09:01,84.654,704,,,,,
6027,03/04/2017 09:11,84.834,992,,,,,
6028,03/04/2017 09:21,85.014,1152,,,,,
6029,03/04/2017 09:31,85.014,1152,,,,,
6030,03/04/2017 09:41,85.194,1408,,,,,
6031,03/04/2017 09:51,85.374,1344,,,,,
6032,03/04/2017 10:01,85.374,1728,,,,,
6033,03/04/2017 10:11,85.554,1216,,,,,
6034,03/04/2017 10:21,85.554,1728,,,,,
6035,03/04/2017 10:31,85.735,1536,,,,,
6036,03/04/2017 10:41,85.735,1536,,,,,
6037,03/04/2017 10:51,85.735,1984,,,,,
6038,03/04/2017 11:01,85.915,1920,,,,,
6039,03/04/2017 11:11,85.915,2816,,,,,
6040,03/04/2017 11:21,85.915,2560,,,,,
6041,03/04/2017 11:31,86.097,3712,,,,,
6042,03/04/2017 11:41,86.097,2432,,,,,
6043,03/04/2017 11:51,86.097,2176,,,,,
6044,03/04/2017 12:01,86.277,1664,,,,,
6045,03/04/2017 12:11,86.277,1600,,,,,
6046,03/04/2017 12:21,85.915,1856,,,,,
6047,03/04/2017 12:31,85.554,1984,,,,,
6048,03/04/2017 12:41,85.194,864,,,,,
6049,03/04/2017 12:51,85.194,1280,,,,,
6050,03/04/2017 13:01,85.554,800,,,,,
6051,03/04/2017 13:11,85.014,480,,,,,
6052,03/04/2017 13:21,85.374,1280,,,,,
6053,03/04/2017 13:31,85.554,1536,,,,,
6054,03/04/2017 13:41,85.374,1088,,,,,
6055,03/04/2017 13:51,85.194,1344,,,,,
6056,03/04/2017 14:01,85.194,1152,,,,,
6057,03/04/2017 14:11,85.374,1536,,,,,
6058,03/04/2017 14:21,84.834,800,,,,,
6059,03/04/2017 14:31,85.554,3584,,,,,
6060,03/04/2017 14:41,85.374,2176,,,,,
6061,03/04/2017 14:51,85.194,1344,,,,,
6062,03/04/2017 15:01,85.374,1152,,,,,
6063,03/04/2017 15:11,85.194,480,,,,,
6064,03/04/2017 15:21,85.194,896,,,,,
6065,03/04/2017 15:31,85.014,608,,,,,
6066,03/04/2017 15:41,85.014,1024,,,,,
6067,03/04/2017 15:51,85.374,1088,,,,,
6068,03/04/2017 16:01,85.194,704,,,,,
6069,03/04/2017 16:11,84.654,672,,,,,
6070,03/04/2017 16:21,84.474,512,,,,,
6071,03/04/2017 16:31,84.654,288,,,,,
6072,03/04/2017 16:41,84.834,480,,,,,
6073,03/04/2017 16:51,84.654,320,,,,,
6074,03/04/2017 17:01,84.654,336,,,,,
6075,03/04/2017 17:11,84.474,152,,,,,
6076,03/04/2017 17:21,84.295,128,,,,,
6077,03/04/2017 17:31,84.295,75,,,,,
6078,03/04/2017 17:41,84.295,77,,,,,
6079,03/04/2017 17:51,84.295,70,,,,,
6080,03/04/2017 18:01,84.115,40,,,,,
